Threshold,Hit Rate,Correct Rate,Time Taken (s)
0.3,0.99,0.1919191919191919,1.854224443435669
0.35,0.95,0.25263157894736843,4.1023335456848145
0.4,0.54,0.18518518518518517,18.14040517807007
0.45,0.5,0.34,20.135384559631348
0.5,0.34,0.3235294117647059,24.159799575805664
0.55,0.23,0.34782608695652173,27.690588235855103
0.65,0.11,0.18181818181818182,31.77479314804077
0.67,0.05,0.8,36.06873869895935
0.69,0.07,0.42857142857142855,33.09418511390686
0.71,0.02,1.0,34.760122776031494
0.73,0.04,0.75,35.665250301361084
0.75,0.03,1.0,34.48651123046875
0.77,0.02,0.5,40.59825158119202
